batch_id,total_energy_pJ
0,8460933168.900
1,8460933168.900
2,8460933168.900
3,8460933168.900
4,8460933168.900
5,8414784048.900
6,8460933168.900
7,8460933168.900
8,8460933168.900
9,8460933168.900
10,8460933168.900
11,8460933168.900
12,8460933168.900
13,8460933168.900
14,8460933168.900
15,8417737592.580
16,8460933168.900
17,8460933168.900
18,8460933168.900
19,8460933168.900
20,8460933168.900
21,8460933168.900
22,8460933168.900
23,8460933168.900
24,8368034990.340
25,8460933168.900
26,8460933168.900
27,8460933168.900
28,8460933168.900
29,8460933168.900
30,8460933168.900
31,8460933168.900
32,8460933168.900
33,8460933168.900
34,8460933168.900
35,8460933168.900
36,8460933168.900
37,8460933168.900
38,8460933168.900
39,8460933168.900
40,8460933168.900
41,8460933168.900
42,8460933168.900
43,8460933168.900
44,8460933168.900
45,8460933168.900
46,8460933168.900
47,8460933168.900
48,8460933168.900
49,8460933168.900
50,8460933168.900
51,8460933168.900
52,8460933168.900
53,8460933168.900
54,8460933168.900
55,8460933168.900
56,8460933168.900
57,8414784048.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,8460933168.900
63,8460933168.900
64,8460933168.900
65,8460933168.900
66,8460933168.900
67,8460933168.900
68,8460933168.900
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,8460933168.900
73,8460933168.900
74,8460933168.900
75,8460933168.900
76,8460933168.900
77,8460933168.900
78,8460933168.900
79,8460933168.900
80,8460933168.900
81,8460933168.900
82,8460933168.900
83,8460933168.900
84,8460933168.900
85,8421844864.260
86,8460933168.900
87,8460933168.900
88,8460933168.900
89,8460933168.900
90,8460933168.900
91,8460933168.900
92,8460933168.900
93,8460933168.900
94,8460933168.900
95,8460933168.900
96,8460933168.900
97,8460933168.900
98,8460933168.900
99,8460933168.900
100,5945775362.820
101,7819075824.900
102,8460933168.900
103,4421823739.140
104,7123285542.660
105,8460933168.900
106,7458805028.100
107,5130520391.940
108,7416717030.660
109,8460933168.900
110,8460933168.900
111,5758994491.140
112,5959389353.220
113,4515721815.300
114,6856112903.940
115,8460933168.900
116,8460933168.900
117,4826966863.620
118,6171229197.060
119,4787570898.180
120,4981474117.380
121,5898964772.100
122,7969121997.060
123,8460933168.900
124,8460933168.900
125,4431145861.380
126,7113963420.420
127,8460933168.900
128,4431145861.380
129,7113963420.420
130,8460933168.900
131,6241191262.980
132,5914101683.460
133,7850749504.260
134,5484053417.220
135,6150046750.980
136,4407625193.220
137,7048493202.180
138,8460933168.900
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,6428325944.580
143,5945775362.820
144,4619588101.380
145,6185520041.220
146,8371942282.500
147,4966398738.180
148,6578710543.620
149,7925249566.980
150,4776341278.980
151,7304451604.740
152,8460933168.900
153,7430238722.820
154,5126720781.060
155,5052543762.180
156,5706322962.180
157,8235325504.260
158,8460933168.900
159,4826966863.620
160,6718142418.180
161,8267106864.900
162,4567039636.740
163,7171895949.060
164,8460933168.900
165,6544775557.380
166,5915470774.020
167,7545796119.300
168,8460933168.900
169,5088786204.420
170,6456323077.380
171,8460933168.900
172,4433807127.300
173,5724028841.220
174,5448703191.300
175,5006286960.900
176,5734843118.340
177,4653692301.060
178,5909979028.740
179,4956922785.540
180,7396349885.700
181,8460933168.900
182,8460933168.900
183,8460933168.900
184,8460933168.900
185,8460933168.900
186,8460933168.900
187,4433807127.300
188,7111302154.500
189,7754651653.380
190,4855040911.620
191,5068034483.460
192,5766655245.060
193,8106769438.980
194,5448580126.980
195,6185520041.220
196,4344816240.900
197,7111302154.500
198,8460933168.900
199,8460933168.900
