batch_id,total_energy_pJ
0,7098149655.300
1,949687014.660
2,4591698649.860
3,8376126469.380
4,8460933168.900
5,3515424256.260
6,949687014.660
7,4977166866.180
8,8271167987.460
9,3108312102.660
10,949687014.660
11,949687014.660
12,949687014.660
13,7419393679.620
14,8460933168.900
15,8376126469.380
16,5771516285.700
17,3652671739.140
18,949687014.660
19,7339571085.060
20,8460933168.900
21,3118434142.980
22,6014983659.780
23,8460933168.900
24,1201691975.940
25,2976910174.980
26,6052041403.140
27,5563506818.820
28,949687014.660
29,5148210887.940
30,5480961426.180
31,949687014.660
32,949687014.660
33,949687014.660
34,5252077174.020
35,5112691448.580
36,8271167987.460
37,2663034626.820
38,949687014.660
39,949687014.660
40,949687014.660
41,949687014.660
42,949687014.660
43,949687014.660
44,949687014.660
45,3121233856.260
46,5898949389.060
47,7445237186.820
48,8025854648.580
49,8460933168.900
50,6264404270.340
51,949687014.660
52,949687014.660
53,949687014.660
54,7704672156.420
55,8460933168.900
56,8460933168.900
57,8460933168.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,3736186263.300
63,949687014.660
64,7953662041.860
65,8460933168.900
66,2986309212.420
67,1192292938.500
68,8376126469.380
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,3033273633.540
73,1145328517.380
74,8460933168.900
75,8460933168.900
76,8376126469.380
77,3585986260.740
78,949687014.660
79,949687014.660
80,2871844011.780
81,5874936463.620
82,949687014.660
83,949687014.660
84,949687014.660
85,8033992276.740
86,5348482685.700
87,5201605419.780
88,2748133604.100
89,949687014.660
90,5280828075.780
91,7380828398.340
92,949687014.660
93,949687014.660
94,949687014.660
95,6459845793.540
96,8460933168.900
97,8341160819.460
98,949687014.660
99,949687014.660
100,949687014.660
101,5543108907.780
102,8460933168.900
103,1177679050.500
104,3000923100.420
105,6813440350.980
106,5563506818.820
107,949687014.660
108,4302005240.580
109,8460933168.900
110,8460933168.900
111,4475418250.500
112,949687014.660
113,949687014.660
114,1982412022.020
115,8460933168.900
116,8460933168.900
117,2682001915.140
118,949687014.660
119,949687014.660
120,949687014.660
121,949687014.660
122,6055056478.980
123,8460933168.900
124,8460933168.900
125,1216967334.660
126,2961634816.260
127,8460933168.900
128,1465218834.180
129,949687014.660
130,6837607106.820
131,5990109284.100
132,949687014.660
133,2523695050.500
134,3989498782.980
135,949687014.660
136,949687014.660
137,2257353095.940
138,8376126469.380
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,6333874078.980
143,949687014.660
144,949687014.660
145,949687014.660
146,7573516357.380
147,3291047234.820
148,949687014.660
149,7797093460.740
150,949687014.660
151,3764598738.180
152,8400785482.500
153,7295329462.020
154,949687014.660
155,949687014.660
156,949687014.660
157,6613599278.340
158,5196790528.260
159,2499897487.620
160,1555824939.780
161,8267106864.900
162,949687014.660
163,3422741440.260
164,5960727677.700
165,5563506818.820
166,949687014.660
167,5239524613.380
168,5224741511.940
169,3385991357.700
170,949687014.660
171,4766003876.100
172,1747189957.380
173,949687014.660
174,949687014.660
175,949687014.660
176,949687014.660
177,949687014.660
178,949687014.660
179,949687014.660
180,4037078525.700
181,8460933168.900
182,5224741511.940
183,8310102461.700
184,8460933168.900
185,8460933168.900
186,8376126469.380
187,1761296205.060
188,2417305945.860
189,7754651653.380
190,949687014.660
191,949687014.660
192,949687014.660
193,6214424773.380
194,3990775575.300
195,949687014.660
196,949687014.660
197,2406907010.820
198,8460933168.900
199,8460933168.900
