batch_id,hit_ratio
0,0.1814
1,1.0000
2,0.5151
3,0.0113
4,0.0000
5,0.6584
6,1.0000
7,0.4638
8,0.0253
9,0.7126
10,1.0000
11,1.0000
12,1.0000
13,0.1387
14,0.0000
15,0.0113
16,0.3581
17,0.6401
18,1.0000
19,0.1493
20,0.0000
21,0.7113
22,0.3256
23,0.0000
24,0.9664
25,0.7301
26,0.3207
27,0.3857
28,1.0000
29,0.4410
30,0.3967
31,1.0000
32,1.0000
33,1.0000
34,0.4272
35,0.4458
36,0.0253
37,0.7719
38,1.0000
39,1.0000
40,1.0000
41,1.0000
42,1.0000
43,1.0000
44,1.0000
45,0.7109
46,0.3411
47,0.1352
48,0.0579
49,0.0000
50,0.2924
51,1.0000
52,1.0000
53,1.0000
54,0.1007
55,0.0000
56,0.0000
57,0.0000
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.6290
63,1.0000
64,0.0675
65,0.0000
66,0.7289
67,0.9677
68,0.0113
69,0.0000
70,0.0000
71,0.0000
72,0.7226
73,0.9740
74,0.0000
75,0.0000
76,0.0113
77,0.6490
78,1.0000
79,1.0000
80,0.7441
81,0.3443
82,1.0000
83,1.0000
84,1.0000
85,0.0568
86,0.4144
87,0.4339
88,0.7606
89,1.0000
90,0.4234
91,0.1438
92,1.0000
93,1.0000
94,1.0000
95,0.2664
96,0.0000
97,0.0159
98,1.0000
99,1.0000
100,1.0000
101,0.3885
102,0.0000
103,0.9696
104,0.7269
105,0.2193
106,0.3857
107,1.0000
108,0.5537
109,0.0000
110,0.0000
111,0.5306
112,1.0000
113,1.0000
114,0.8625
115,0.0000
116,0.0000
117,0.7694
118,1.0000
119,1.0000
120,1.0000
121,1.0000
122,0.3203
123,0.0000
124,0.0000
125,0.9644
126,0.7321
127,0.0000
128,0.9314
129,1.0000
130,0.2161
131,0.3289
132,1.0000
133,0.7904
134,0.5953
135,1.0000
136,1.0000
137,0.8259
138,0.0113
139,0.0000
140,0.0000
141,0.0000
142,0.2832
143,1.0000
144,1.0000
145,1.0000
146,0.1181
147,0.6883
148,1.0000
149,0.0884
150,1.0000
151,0.6252
152,0.0080
153,0.1552
154,1.0000
155,1.0000
156,1.0000
157,0.2459
158,0.4346
159,0.7936
160,0.9193
161,0.0258
162,1.0000
163,0.6708
164,0.3329
165,0.3857
166,1.0000
167,0.4289
168,0.4308
169,0.6756
170,1.0000
171,0.4919
172,0.8938
173,1.0000
174,1.0000
175,1.0000
176,1.0000
177,1.0000
178,1.0000
179,1.0000
180,0.5890
181,0.0000
182,0.4308
183,0.0201
184,0.0000
185,0.0000
186,0.0113
187,0.8919
188,0.8046
189,0.0940
190,1.0000
191,1.0000
192,1.0000
193,0.2991
194,0.5951
195,1.0000
196,1.0000
197,0.8060
198,0.0000
199,0.0000
