batch_id,total_energy_pJ
0,29310339911.680
1,28814965002.240
2,28814965002.240
3,28814965002.240
4,28814965002.240
5,28814965002.240
6,28814965002.240
7,28814965002.240
8,28814965002.240
9,28814965002.240
10,28814965002.240
11,28814965002.240
12,28814965002.240
13,28814965002.240
14,28814965002.240
15,28814965002.240
16,28814965002.240
17,28814965002.240
18,28814965002.240
19,28814965002.240
20,28814965002.240
21,28814965002.240
22,28814965002.240
23,28814965002.240
24,28814965002.240
25,28814965002.240
26,28814965002.240
27,28814965002.240
28,28814965002.240
29,28814965002.240
30,28814965002.240
31,28814965002.240
32,28814965002.240
33,28814965002.240
34,28814965002.240
35,28814965002.240
36,28814965002.240
37,28814965002.240
38,28814965002.240
39,28814965002.240
40,28814965002.240
41,28814965002.240
42,28814965002.240
43,28814965002.240
44,28814965002.240
45,28814965002.240
46,28814965002.240
47,28814965002.240
48,28814965002.240
49,28814965002.240
50,28814965002.240
51,28814965002.240
52,28814965002.240
53,28814965002.240
54,28814965002.240
55,28814965002.240
56,28814965002.240
57,28814965002.240
58,28814965002.240
59,28814965002.240
60,28814965002.240
61,28814965002.240
62,28814965002.240
63,28814965002.240
64,28814965002.240
65,28814965002.240
66,28814965002.240
67,28814965002.240
68,28814965002.240
69,28814965002.240
70,28814965002.240
71,28814965002.240
72,28814965002.240
73,28814965002.240
74,28814965002.240
75,28814965002.240
76,28814965002.240
77,28814965002.240
78,28814965002.240
79,28814965002.240
80,28814965002.240
81,28814965002.240
82,28814965002.240
83,28814965002.240
84,28814965002.240
85,28814965002.240
86,28814965002.240
87,28814965002.240
88,28814965002.240
89,28814965002.240
90,28814965002.240
91,28814965002.240
92,28814965002.240
93,28814965002.240
94,28814965002.240
95,28814965002.240
96,28814965002.240
97,28814965002.240
98,28814965002.240
99,28814965002.240
100,28814965002.240
101,28814965002.240
102,28814965002.240
103,28814965002.240
104,28814965002.240
105,28814965002.240
106,28814965002.240
107,28814965002.240
108,28814965002.240
109,28814965002.240
110,28814965002.240
111,28814965002.240
112,28814965002.240
113,28814965002.240
114,28814965002.240
115,28814965002.240
116,28814965002.240
117,28814965002.240
118,28814965002.240
119,28814965002.240
120,28814965002.240
121,28814965002.240
122,28814965002.240
123,28814965002.240
124,28814965002.240
125,28814965002.240
126,28814965002.240
127,28814965002.240
128,28814965002.240
129,28814965002.240
130,28814965002.240
131,28814965002.240
132,28814965002.240
133,28814965002.240
134,28814965002.240
135,28814965002.240
136,28814965002.240
137,28814965002.240
138,28814965002.240
139,28814965002.240
140,28814965002.240
141,28814965002.240
142,28814965002.240
143,28814965002.240
144,28814965002.240
145,28814965002.240
146,28814965002.240
147,28814965002.240
148,28814965002.240
149,28814965002.240
150,28814965002.240
151,28814965002.240
152,28814965002.240
153,28814965002.240
154,28814965002.240
155,28814965002.240
156,28814965002.240
157,28814965002.240
158,28814965002.240
159,28814965002.240
160,28814965002.240
161,28814965002.240
162,28814965002.240
163,28814965002.240
164,28814965002.240
165,28814965002.240
166,28814965002.240
167,28814965002.240
168,28814965002.240
169,28814965002.240
170,28814965002.240
171,28814965002.240
172,28814965002.240
173,28814965002.240
174,28814965002.240
175,28814965002.240
176,28814965002.240
177,28814965002.240
178,28814965002.240
179,28814965002.240
180,28814965002.240
181,28814965002.240
182,28814965002.240
183,28814965002.240
184,28814965002.240
185,28814965002.240
186,28814965002.240
187,28814965002.240
188,28814965002.240
189,28814965002.240
190,28814965002.240
191,28814965002.240
192,28814965002.240
193,28814965002.240
194,28814965002.240
195,28814965002.240
196,28814965002.240
197,28814965002.240
198,28814965002.240
199,28814965002.240
