batch_id,total_energy_pJ
0,29310411699.200
1,27766067292.160
2,27772866595.840
3,27771820549.120
4,27769574625.280
5,27765646822.400
6,27761534423.040
7,27757237427.200
8,27752663536.640
9,27748110156.800
10,27743905459.200
11,27739013652.480
12,27733280906.240
13,27730019701.760
14,27725897047.040
15,27721887201.280
16,27719179786.240
17,27716964628.480
18,27711334435.840
19,27707334845.440
20,27704535132.160
21,27700258647.040
22,27695366840.320
23,27691500569.600
24,27690116096.000
25,27687542000.640
26,27685490928.640
27,27681409295.360
28,27678896732.160
29,27677266129.920
30,27673810073.600
31,27670107888.640
32,27666723619.840
33,27664139269.120
34,27659914060.800
35,27655934981.120
36,27654571018.240
37,27652889139.200
38,27650345809.920
39,27646418007.040
40,27645320683.520
41,27641772328.960
42,27638890572.800
43,27637403545.600
44,27633137315.840
45,27630532454.400
46,27629394109.440
47,27626122649.600
48,27624071577.600
49,27621753866.240
50,27621364162.560
51,27618861854.720
52,27615969843.200
53,27613477790.720
54,27609293603.840
55,27608934666.240
56,27605345290.240
57,27603458304.000
58,27600945740.800
59,27599602288.640
60,27598628029.440
61,27596371850.240
62,27593961840.640
63,27592331238.400
64,27590218634.240
65,27588608542.720
66,27586608747.520
67,27585255040.000
68,27583685969.920
69,27580937533.440
70,27579060802.560
71,27577019985.920
72,27576240578.560
73,27575461171.200
74,27574599720.960
75,27572261498.880
76,27569984808.960
77,27568528547.840
78,27566549263.360
79,27566918456.320
80,27566087772.160
81,27566200581.120
82,27564631511.040
83,27563934146.560
84,27563123973.120
85,27560990858.240
86,27559267957.760
87,27558396252.160
88,27556622074.880
89,27555299133.440
90,27552417377.280
91,27550971371.520
92,27550756008.960
93,27551443118.080
94,27550150942.720
95,27548663915.520
96,27549956090.880
97,27548858767.360
98,27548766469.120
99,27547033313.280
100,27545648839.680
101,27544489984.000
102,27542408145.920
103,27541741547.520
104,27541239034.880
105,27540695500.800
106,27539526389.760
107,27537259955.200
108,27534716625.920
109,27533055257.600
110,27530029926.400
111,27527578895.360
112,27526850764.800
113,27526122634.240
114,27523322920.960
115,27522358917.120
116,27519620736.000
117,27518554178.560
118,27516862044.160
119,27516287744.000
120,27514554588.160
121,27514708418.560
122,27514513566.720
123,27513846968.320
124,27514411013.120
125,27515251952.640
126,27516400552.960
127,27516267233.280
128,27514728929.280
129,27513098327.040
130,27512411217.920
131,27510770360.320
132,27508616734.720
133,27506934855.680
134,27506832302.080
135,27507109196.800
136,27505560637.440
137,27506627194.880
138,27507673241.600
139,27508503925.760
140,27508801331.200
141,27509211545.600
142,27508832097.280
143,27507827072.000
144,27507232261.120
145,27506032384.000
146,27504381271.040
147,27503386501.120
148,27503427522.560
149,27501735388.160
150,27500771384.320
151,27499633039.360
152,27498679290.880
153,27498556226.560
154,27496966645.760
155,27496700006.400
156,27493274716.160
157,27490874961.920
158,27490269895.680
159,27489552020.480
160,27489193082.880
161,27488393164.800
162,27488003461.120
163,27486947159.040
164,27486383114.240
165,27485511408.640
166,27485572940.800
167,27483696209.920
168,27482301480.960
169,27480917007.360
170,27480424750.080
171,27479645342.720
172,27478722360.320
173,27476825118.720
174,27475532943.360
175,27473369062.400
176,27471564119.040
177,27471071861.760
178,27470046325.760
179,27469943772.160
180,27472435824.640
181,27471687183.360
182,27470312965.120
183,27469348961.280
184,27467523507.200
185,27466785121.280
186,27467164569.600
187,27466979973.120
188,27465462179.840
189,27465544222.720
190,27464816092.160
191,27463031659.520
192,27460601139.200
193,27460857523.200
194,27460498585.600
195,27458652620.800
196,27457924490.240
197,27458303938.560
198,27458560322.560
199,27459585858.560
