batch_id,total_energy_pJ
0,31157781483.520
1,31157781483.520
2,31157771228.160
3,31157771228.160
4,31157771228.160
5,31157760972.800
6,31157771228.160
7,31157760972.800
8,31157750717.440
9,31157740462.080
10,31157750717.440
11,31157760972.800
12,31157771228.160
13,31157781483.520
14,31157791738.880
15,31157791738.880
16,31157781483.520
17,31157771228.160
18,31157781483.520
19,31157760972.800
20,31157750717.440
21,31157760972.800
22,31157750717.440
23,31157750717.440
24,31157771228.160
25,31157771228.160
26,31157750717.440
27,31157750717.440
28,31157760972.800
29,31157740462.080
30,31157740462.080
31,31157771228.160
32,31157771228.160
33,31157760972.800
34,31157760972.800
35,31157760972.800
36,31157771228.160
37,31157740462.080
38,31157709696.000
39,31157719951.360
40,31157709696.000
41,31157709696.000
42,31157699440.640
43,31157699440.640
44,31157699440.640
45,31157709696.000
46,31157709696.000
47,31157719951.360
48,31157709696.000
49,31157719951.360
50,31157719951.360
51,31157719951.360
52,31157709696.000
53,31157709696.000
54,31157699440.640
55,31157709696.000
56,31157719951.360
57,31157709696.000
58,31157719951.360
59,31157730206.720
60,31157719951.360
61,31157699440.640
62,31157699440.640
63,31157699440.640
64,31157740462.080
65,31157730206.720
66,31157740462.080
67,31157740462.080
68,31157760972.800
69,31157771228.160
70,31157791738.880
71,31157791738.880
72,31157801994.240
73,31157801994.240
74,31157791738.880
75,31157771228.160
76,31157760972.800
77,31157760972.800
78,31157760972.800
79,31157771228.160
80,31157781483.520
81,31157771228.160
82,31157791738.880
83,31157801994.240
84,31157801994.240
85,31157822504.960
86,31157812249.600
87,31157812249.600
88,31157822504.960
89,31157812249.600
90,31157822504.960
91,31157812249.600
92,31157812249.600
93,31157832760.320
94,31157822504.960
95,31157812249.600
96,31157822504.960
97,31157832760.320
98,31157843015.680
99,31157822504.960
100,19658784742.400
101,19689581588.480
102,19720604052.480
103,19751606005.760
104,19782741278.720
105,19813671444.480
106,19844714419.200
107,19875593308.160
108,19906133770.240
109,19937022914.560
110,19968414571.520
111,19999672908.800
112,20030613329.920
113,20061963965.440
114,20092914641.920
115,20124234511.360
116,20155318507.520
117,20186074332.160
118,20217312158.720
119,20248396154.880
120,20279603215.360
121,20310964106.240
122,20342396784.640
123,20373511546.880
124,20404882693.120
125,20435802603.520
126,20466876344.320
127,20498216724.480
128,20529567360.000
129,20561010293.760
130,20592289141.760
131,20623680798.720
132,20655123732.480
133,20686197473.280
134,20717753216.000
135,20749196149.760
136,20781049297.920
137,20812687083.520
138,20844242826.240
139,20875644738.560
140,20906800522.240
141,20938222945.280
142,20969635112.960
143,21001313920.000
144,21033074769.920
145,21064476682.240
146,21095786296.320
147,21127116421.120
148,21158743951.360
149,21190381736.960
150,21222050288.640
151,21253606031.360
152,21285479690.240
153,21317045688.320
154,21348570664.960
155,21380064875.520
156,21411897512.960
157,21443319936.000
158,21475039764.480
159,21506749337.600
160,21538530698.240
161,21570527421.440
162,21601816524.800
163,21633577374.720
164,21665235671.040
165,21696781158.400
166,21728470220.800
167,21760200304.640
168,21791715025.920
169,21822870809.600
170,21854672680.960
171,21886382254.080
172,21918132848.640
173,21949596293.120
174,21981469952.000
175,22012964162.560
176,22044386585.600
177,22076301265.920
178,22108369776.640
179,22140202414.080
180,22171758156.800
181,22203324154.880
182,22234818365.440
183,22266548449.280
184,22298114447.360
185,22330090659.840
186,22361605381.120
187,22393130357.760
188,22425024527.360
189,22456652057.600
190,22488689802.240
191,22520460907.520
192,22552067927.040
193,22584044139.520
194,22615958819.840
195,22647781201.920
196,22679603584.000
197,22711456732.160
198,22743658562.560
199,22775511710.720
