batch_id,total_energy_pJ
0,31157781483.520
1,31157781483.520
2,31157771228.160
3,31157771228.160
4,31157771228.160
5,31157760972.800
6,31157771228.160
7,31157760972.800
8,31157750717.440
9,31157740462.080
10,31157750717.440
11,31157760972.800
12,31157771228.160
13,31157781483.520
14,31157791738.880
15,31157791738.880
16,31157781483.520
17,31157771228.160
18,31157781483.520
19,31157760972.800
20,31157750717.440
21,31157760972.800
22,31157750717.440
23,31157750717.440
24,31157771228.160
25,31157771228.160
26,31157750717.440
27,31157750717.440
28,31157760972.800
29,31157740462.080
30,31157740462.080
31,31157771228.160
32,31157771228.160
33,31157760972.800
34,31157760972.800
35,31157760972.800
36,31157771228.160
37,31157740462.080
38,31157709696.000
39,31157719951.360
40,31157709696.000
41,31157709696.000
42,31157699440.640
43,31157699440.640
44,31157699440.640
45,31157709696.000
46,31157709696.000
47,31157719951.360
48,31157709696.000
49,31157719951.360
50,31157719951.360
51,31157719951.360
52,31157709696.000
53,31157709696.000
54,31157699440.640
55,31157709696.000
56,31157719951.360
57,31157709696.000
58,31157719951.360
59,31157730206.720
60,31157719951.360
61,31157699440.640
62,31157699440.640
63,31157699440.640
64,31157740462.080
65,31157730206.720
66,31157740462.080
67,31157740462.080
68,31157760972.800
69,31157771228.160
70,31157791738.880
71,31157791738.880
72,31157801994.240
73,31157801994.240
74,31157791738.880
75,31157771228.160
76,31157760972.800
77,31157760972.800
78,31157760972.800
79,31157771228.160
80,31157781483.520
81,31157771228.160
82,31157791738.880
83,31157801994.240
84,31157801994.240
85,31157822504.960
86,31157812249.600
87,31157812249.600
88,31157822504.960
89,31157812249.600
90,31157822504.960
91,31157812249.600
92,31157812249.600
93,31157832760.320
94,31157822504.960
95,31157812249.600
96,31157822504.960
97,31157832760.320
98,31157843015.680
99,31157822504.960
100,18772290913.280
101,18816471004.160
102,18860210114.560
103,18904872207.360
104,18950118855.680
105,18995488568.320
106,19040499343.360
107,19085663948.800
108,19129936337.920
109,19174372812.800
110,19219383587.840
111,19263840573.440
112,19308328325.120
113,19352990417.920
114,19397539701.760
115,19442509455.360
116,19487202314.240
117,19531792619.520
118,19577049523.200
119,19622142341.120
120,19667440266.240
121,19712604871.680
122,19757461816.320
123,19802482846.720
124,19847944857.600
125,19893119718.400
126,19937956152.320
127,19983059225.600
128,20028172554.240
129,20072988477.440
130,20118245381.120
131,20163984286.720
132,20209077104.640
133,20253677665.280
134,20298873036.800
135,20345175987.200
136,20390822594.560
137,20436397414.400
138,20482300405.760
139,20529187911.680
140,20574783242.240
141,20620470871.040
142,20666425139.200
143,20711641021.440
144,20757338905.600
145,20802995768.320
146,20847565562.880
147,20893150638.080
148,20938212689.920
149,20983808020.480
150,21028829050.880
151,21073737272.320
152,21117835320.320
153,21162651243.520
154,21207569720.320
155,21252313856.000
156,21296360627.200
157,21341566254.080
158,21385787366.400
159,21430736609.280
160,21475644830.720
161,21520614584.320
162,21565543316.480
163,21610595112.960
164,21656180188.160
165,21701324282.880
166,21746601697.280
167,21791653493.760
168,21836633502.720
169,21881839129.600
170,21927013990.400
171,21973337451.520
172,22018737930.240
173,22063584619.520
174,22108318499.840
175,22153524126.720
176,22198422092.800
177,22243494400.000
178,22289048709.120
179,22335269616.640
180,22381480268.800
181,22427701176.320
182,22473470848.000
183,22519189242.880
184,22564456401.920
185,22611005480.960
186,22657298176.000
187,22703098613.760
188,22748745221.120
189,22793971358.720
190,22839792307.200
191,22885008189.440
192,22929936921.600
193,22976034764.800
194,23022183884.800
195,23068240706.560
196,23114810296.320
197,23161492695.040
198,23207323898.880
199,23253913999.360
