batch_id,total_energy_pJ
0,18730972067.840
1,18724859873.280
2,18717147842.560
3,18709558876.160
4,18704031237.120
5,18698811258.880
6,18693263109.120
7,18687817512.960
8,18682310384.640
9,18676331509.760
10,18670967956.480
11,18666629939.200
12,18661871452.160
13,18656405345.280
14,18651698135.040
15,18647329351.680
16,18642847759.360
17,18639063531.520
18,18634643471.360
19,18630428518.400
20,18625967436.800
21,18621711462.400
22,18617260636.160
23,18613773813.760
24,18610799759.360
25,18606769402.880
26,18602164746.240
27,18597529323.520
28,18592740070.400
29,18588832778.240
30,18585222891.520
31,18581325854.720
32,18577890309.120
33,18573900974.080
34,18570168023.040
35,18566363284.480
36,18562999526.400
37,18560722836.480
38,18558497423.360
39,18556159201.280
40,18554620897.280
41,18553123614.720
42,18552333952.000
43,18551011010.560
44,18549544494.080
45,18548539468.800
46,18547965168.640
47,18547144739.840
48,18546570439.680
49,18547083207.680
50,18548447170.560
51,18548601000.960
52,18548836874.240
53,18548662533.120
54,18548303595.520
55,18549031726.080
56,18549585515.520
57,18551236628.480
58,18553308211.200
59,18555379793.920
60,18557328312.320
61,18558815339.520
62,18560312622.080
63,18562527779.840
64,18564548085.760
65,18567583672.320
66,18570742323.200
67,18573624079.360
68,18576782730.240
69,18579890104.320
70,18582515476.480
71,18585161359.360
72,18588576394.240
73,18592822113.280
74,18598329241.600
75,18601785297.920
76,18605774632.960
77,18609794734.080
78,18614235304.960
79,18619752688.640
80,18625341859.840
81,18631341245.440
82,18636427904.000
83,18641268433.920
84,18646621731.840
85,18651308431.360
86,18655410575.360
87,18660712596.480
88,18665348019.200
89,18670701317.120
90,18675870018.560
91,18681787361.280
92,18687817512.960
93,18694647582.720
94,18700093178.880
95,18705210603.520
96,18711712501.760
97,18717927249.920
98,18723249781.760
99,18728305674.240
100,18724183019.520
101,18719373255.680
102,18714778854.400
103,18710266496.000
104,18705600307.200
105,18700308541.440
106,18695652608.000
107,18689930117.120
108,18684392222.720
109,18679438883.840
110,18675275207.680
111,18671573022.720
112,18667368325.120
113,18662866222.080
114,18658046202.880
115,18653954314.240
116,18649975234.560
117,18645678238.720
118,18640960773.120
119,18637073991.680
120,18633556403.200
121,18629587578.880
122,18626172544.000
123,18623659980.800
124,18621085885.440
125,18617732382.720
126,18613835345.920
127,18610645928.960
128,18607579576.320
129,18604861905.920
130,18601436615.680
131,18599088138.240
132,18596955023.360
133,18594104033.280
134,18592247813.120
135,18590822318.080
136,18590083932.160
137,18589981378.560
138,18588617415.680
139,18587314984.960
140,18586915025.920
141,18586145873.920
142,18585510041.600
143,18584812677.120
144,18584299909.120
145,18583151308.800
146,18582535987.200
147,18582453944.320
148,18582464199.680
149,18582464199.680
150,18582330880.000
151,18582259092.480
152,18582279603.200
153,18582084751.360
154,18582361646.080
155,18582474455.040
156,18582792371.200
157,18583325649.920
158,18584792166.400
159,18586463790.080
160,18588566138.880
161,18590976148.480
162,18592545218.560
163,18594278374.400
164,18596329446.400
165,18598401029.120
166,18600687974.400
167,18603333857.280
168,18606420720.640
169,18608666644.480
170,18611743252.480
171,18615824885.760
172,18619229665.280
173,18622234485.760
174,18624757304.320
175,18627362165.760
176,18630725923.840
177,18635125473.280
178,18640714644.480
179,18646806328.320
180,18652405754.880
181,18656897602.560
182,18661697111.040
183,18666383810.560
184,18670629529.600
185,18675767464.960
186,18681120762.880
187,18686422784.000
188,18691314590.720
189,18696432015.360
190,18701775057.920
191,18706810439.680
192,18712071439.360
193,18717640099.840
194,18723844592.640
195,18729567083.520
196,18736274088.960
197,18743627182.080
198,18750857210.880
199,18758353879.040
