batch_id,total_energy_pJ
0,8460933168.900
1,8460933168.900
2,8460933168.900
3,8460933168.900
4,8460933168.900
5,8460933168.900
6,8460933168.900
7,8460933168.900
8,8460933168.900
9,8460933168.900
10,8460933168.900
11,7851857083.140
12,8161871488.260
13,8406584888.580
14,8460933168.900
15,8460933168.900
16,8460933168.900
17,8401385421.060
18,8460933168.900
19,8460933168.900
20,8460933168.900
21,8460933168.900
22,8460933168.900
23,8460933168.900
24,8460594742.020
25,8460933168.900
26,8460933168.900
27,8460933168.900
28,8460933168.900
29,8460933168.900
30,8460933168.900
31,8460933168.900
32,7964737830.660
33,8048990740.740
34,8460933168.900
35,5312640202.500
36,7926141783.300
37,8460933168.900
38,8395032225.540
39,7888114908.420
40,7983966630.660
41,7879961897.220
42,7845119311.620
43,8048990740.740
44,7851857083.140
45,8161871488.260
46,8460933168.900
47,8270275771.140
48,8179808112.900
49,8460933168.900
50,8460933168.900
51,8460933168.900
52,8001534062.340
53,8092970852.100
54,8380156825.860
55,8460933168.900
56,8460933168.900
57,8460933168.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,8460933168.900
63,8460933168.900
64,8460933168.900
65,8460933168.900
66,8460933168.900
67,8460933168.900
68,8460933168.900
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,8460933168.900
73,8460933168.900
74,8460933168.900
75,8460933168.900
76,8460933168.900
77,8460933168.900
78,8460933168.900
79,7874762429.700
80,8138966141.700
81,8460933168.900
82,8460933168.900
83,7991396638.980
84,8087894448.900
85,8395370652.420
86,8452580178.180
87,5893996050.180
88,7344785935.620
89,8460933168.900
90,8460933168.900
91,8460933168.900
92,8460933168.900
93,8194114340.100
94,7939232750.340
95,8341314649.860
96,8460933168.900
97,8460933168.900
98,8460933168.900
99,8299872740.100
100,7860148541.700
101,8314640458.500
102,8460933168.900
103,8460933168.900
104,8460933168.900
105,8460933168.900
106,8401385421.060
107,8460933168.900
108,8460933168.900
109,8347852441.860
110,8435258875.140
111,8460933168.900
112,8460933168.900
113,7927603172.100
114,8086125399.300
115,8460933168.900
116,7262840481.540
117,8172685765.380
118,8395032225.540
119,7888114908.420
120,7983966630.660
121,7879961897.220
122,8341314649.860
123,8460933168.900
124,8460933168.900
125,8460933168.900
126,8460933168.900
127,8460933168.900
128,8460933168.900
129,8460933168.900
130,8460933168.900
131,8460933168.900
132,8460933168.900
133,8460933168.900
134,8460933168.900
135,8460933168.900
136,7927603172.100
137,8086125399.300
138,8460933168.900
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,8460933168.900
143,8460933168.900
144,8030561858.820
145,8063943055.620
146,8380156825.860
147,8460933168.900
148,8460933168.900
149,8460933168.900
150,8460933168.900
151,8460933168.900
152,7661999603.460
153,5407845837.060
154,8460933168.900
155,8166901742.340
156,7966445348.100
157,8341314649.860
158,8460933168.900
159,8460933168.900
160,8460933168.900
161,8460933168.900
162,8460933168.900
163,8460933168.900
164,8460933168.900
165,8460933168.900
166,8460933168.900
167,8460933168.900
168,8460933168.900
169,8460933168.900
170,8460933168.900
171,8460933168.900
172,8460933168.900
173,8365773683.460
174,7877392929.540
175,7871562757.380
176,8032346291.460
177,7807984653.060
178,8004026114.820
179,7864332728.580
180,8231495127.300
181,5141334669.060
182,6716496432.900
183,8460933168.900
184,8460933168.900
185,8460933168.900
186,8460933168.900
187,8460933168.900
188,8460933168.900
189,8460933168.900
190,8460933168.900
191,8241078761.220
192,7892268329.220
193,8341314649.860
194,8460933168.900
195,8460933168.900
196,7927603172.100
197,8086125399.300
198,8445365532.420
199,7219075732.740
