batch_id,total_energy_pJ
0,8460933168.900
1,8460933168.900
2,8460933168.900
3,8460933168.900
4,8460933168.900
5,8414784048.900
6,8460933168.900
7,8460933168.900
8,8460933168.900
9,8460933168.900
10,8460933168.900
11,8460933168.900
12,8460933168.900
13,8460933168.900
14,8460933168.900
15,8417737592.580
16,8460933168.900
17,8460933168.900
18,8460933168.900
19,8460933168.900
20,8460933168.900
21,8460933168.900
22,8460933168.900
23,8460933168.900
24,8368034990.340
25,8460933168.900
26,8460933168.900
27,8460933168.900
28,8460933168.900
29,8460933168.900
30,8460933168.900
31,8460933168.900
32,8460933168.900
33,8460933168.900
34,8460933168.900
35,8460933168.900
36,8460933168.900
37,8460933168.900
38,8460933168.900
39,8460933168.900
40,8460933168.900
41,8460933168.900
42,8460933168.900
43,8460933168.900
44,8460933168.900
45,8460933168.900
46,8460933168.900
47,8460933168.900
48,8460933168.900
49,8460933168.900
50,8460933168.900
51,8460933168.900
52,8460933168.900
53,8460933168.900
54,8460933168.900
55,8305349102.340
56,8460933168.900
57,8414784048.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,8460933168.900
63,8460933168.900
64,8460933168.900
65,8460933168.900
66,8460933168.900
67,8460933168.900
68,8460933168.900
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,8460933168.900
73,8460933168.900
74,8460933168.900
75,8460933168.900
76,8460933168.900
77,8460933168.900
78,8460933168.900
79,8460933168.900
80,8460933168.900
81,8460933168.900
82,8460933168.900
83,8460933168.900
84,8460933168.900
85,8421844864.260
86,8407446338.820
87,8460933168.900
88,8460933168.900
89,8460933168.900
90,8460933168.900
91,8460933168.900
92,8460933168.900
93,8460933168.900
94,8460933168.900
95,8460933168.900
96,8460933168.900
97,8460933168.900
98,8460933168.900
99,8425967518.980
100,8460933168.900
101,8460933168.900
102,8460933168.900
103,8425967518.980
104,6540468306.180
105,2460132329.220
106,8285028106.500
107,8460933168.900
108,8460933168.900
109,8460933168.900
110,8460933168.900
111,8425967518.980
112,8460933168.900
113,8425967518.980
114,8460933168.900
115,8460933168.900
116,8460933168.900
117,8425967518.980
118,8425967518.980
119,8460933168.900
120,8425967518.980
121,8460933168.900
122,8460933168.900
123,8460933168.900
124,8460933168.900
125,8425967518.980
126,8460933168.900
127,8460933168.900
128,8425967518.980
129,8388679030.020
130,8324439454.980
131,8425967518.980
132,8460933168.900
133,8357389926.660
134,8320762908.420
135,8460933168.900
136,8425967518.980
137,7264348019.460
138,1804061056.260
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,8425967518.980
143,8460933168.900
144,8425967518.980
145,8460933168.900
146,7727469821.700
147,8001241784.580
148,8460933168.900
149,8425967518.980
150,8460933168.900
151,8460933168.900
152,8440504491.780
153,8405538841.860
154,8460933168.900
155,8425967518.980
156,8460933168.900
157,8460933168.900
158,8308948733.700
159,8369204101.380
160,8460933168.900
161,8425967518.980
162,8460933168.900
163,8460933168.900
164,8368434949.380
165,8309717885.700
166,8460933168.900
167,8460933168.900
168,8336761270.020
169,8341391565.060
170,8460933168.900
171,8252185316.100
172,8425967518.980
173,8425967518.980
174,8460933168.900
175,8425967518.980
176,8460933168.900
177,8425967518.980
178,8425967518.980
179,8460933168.900
180,8460933168.900
181,8460933168.900
182,8336761270.020
183,8376357214.980
184,8460933168.900
185,8460933168.900
186,1419085097.220
187,7614358328.580
188,8460933168.900
189,8425967518.980
190,8460933168.900
191,8425967518.980
192,8460933168.900
193,8460933168.900
194,8405538841.860
195,8460933168.900
196,5627807926.020
197,3228915136.260
198,8460933168.900
199,8460933168.900
