batch_id,total_energy_pJ
0,7098149655.300
1,949687014.660
2,6581438469.380
3,8460933168.900
4,8460933168.900
5,3515424256.260
6,2652917714.180
7,8460933168.900
8,8460933168.900
9,3108312102.660
10,2939426834.180
11,949687014.660
12,5339257989.380
13,8460933168.900
14,8460933168.900
15,8460933168.900
16,8460933168.900
17,4350277220.100
18,2136847488.260
19,8142150430.980
20,8460933168.900
21,3118434142.980
22,6014983659.780
23,8460933168.900
24,1201691975.940
25,4966649994.500
26,8460933168.900
27,6541637417.220
28,949687014.660
29,7137950707.460
30,5480961426.180
31,1362219126.020
32,2526894722.820
33,2966608665.860
34,8460933168.900
35,8460933168.900
36,8460933168.900
37,2663034626.820
38,2939426834.180
39,949687014.660
40,2939426834.180
41,1362219126.020
42,2526894722.820
43,2831745554.180
44,1057368294.660
45,5110973675.780
46,8460933168.900
47,8460933168.900
48,8460933168.900
49,8460933168.900
50,6264404270.340
51,1000317726.980
52,2888796121.860
53,2417664883.460
54,8226434107.140
55,8460933168.900
56,8460933168.900
57,8460933168.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,3736186263.300
63,2569664701.700
64,8323424174.340
65,8460933168.900
66,2986309212.420
67,3182032758.020
68,8460933168.900
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,3033273633.540
73,3135068336.900
74,8460933168.900
75,8460933168.900
76,8460933168.900
77,3585986260.740
78,2605676398.340
79,1283437450.500
80,4861583831.300
81,5874936463.620
82,1240446981.380
83,2648666867.460
84,2605676398.340
85,8427890398.980
86,8460933168.900
87,8460933168.900
88,3150400100.100
89,3017941870.340
90,8460933168.900
91,7509230633.220
92,949687014.660
93,2939426834.180
94,1494974761.220
95,7904297866.500
96,8460933168.900
97,8425967518.980
98,949687014.660
99,2939426834.180
100,949687014.660
101,5543108907.780
102,8460933168.900
103,3167418870.020
104,3000923100.420
105,8460933168.900
106,8136479216.900
107,2190790681.860
108,4302005240.580
109,8460933168.900
110,8460933168.900
111,6465158070.020
112,949687014.660
113,2939426834.180
114,1982412022.020
115,8460933168.900
116,8460933168.900
117,4671741734.660
118,1172146283.780
119,2716967565.060
120,2939426834.180
121,949687014.660
122,6055056478.980
123,8460933168.900
124,8460933168.900
125,3206707154.180
126,2961634816.260
127,8460933168.900
128,3454958653.700
129,2713383316.740
130,8460933168.900
131,7979849103.620
132,949687014.660
133,5699739021.060
134,6190216996.100
135,949687014.660
136,2939426834.180
137,2257353095.940
138,8460933168.900
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,8136479216.900
143,1136821696.260
144,2939426834.180
145,949687014.660
146,7635202347.780
147,5346811062.020
148,949687014.660
149,8008323110.660
150,2728197184.260
151,3764598738.180
152,8460933168.900
153,8136479216.900
154,2158424765.700
155,2939426834.180
156,949687014.660
157,6613599278.340
158,8460933168.900
159,4612517030.660
160,1555824939.780
161,8267106864.900
162,2939426834.180
163,3422741440.260
164,8460933168.900
165,8136479216.900
166,1253271309.060
167,5239524613.380
168,8460933168.900
169,5526561884.420
170,949687014.660
171,8153026240.260
172,3736929776.900
173,2106958241.540
174,1782155607.300
175,2939426834.180
176,949687014.660
177,2939426834.180
178,1433396452.100
179,2455717396.740
180,4037078525.700
181,8460933168.900
182,8460933168.900
183,8460933168.900
184,8460933168.900
185,8460933168.900
186,8460933168.900
187,3751036024.580
188,2417305945.860
189,8136479216.900
190,2557599270.660
191,2939426834.180
192,949687014.660
193,6214424773.380
194,6040663081.220
195,949687014.660
196,2939426834.180
197,2406907010.820
198,8460933168.900
199,8460933168.900
