batch_id,total_energy_pJ
0,43320000000.000
1,43320000000.000
2,43320000000.000
3,43320000000.000
4,43320000000.000
5,43320000000.000
6,43320000000.000
7,43320000000.000
8,43320000000.000
9,43320000000.000
10,43320000000.000
11,43320000000.000
12,43320000000.000
13,43320000000.000
14,43320000000.000
15,43320000000.000
16,43320000000.000
17,43320000000.000
18,43320000000.000
19,43320000000.000
20,43320000000.000
21,43320000000.000
22,43320000000.000
23,43320000000.000
24,43320000000.000
25,43320000000.000
26,43320000000.000
27,43320000000.000
28,43320000000.000
29,43320000000.000
30,43320000000.000
31,43320000000.000
32,43320000000.000
33,43320000000.000
34,43320000000.000
35,43320000000.000
36,43320000000.000
37,43320000000.000
38,43320000000.000
39,43320000000.000
40,43320000000.000
41,43320000000.000
42,43320000000.000
43,43320000000.000
44,43320000000.000
45,43320000000.000
46,43320000000.000
47,43320000000.000
48,43320000000.000
49,43320000000.000
50,43320000000.000
51,43320000000.000
52,43320000000.000
53,43320000000.000
54,43320000000.000
55,43320000000.000
56,43320000000.000
57,43320000000.000
58,43320000000.000
59,43320000000.000
60,43320000000.000
61,43320000000.000
62,43320000000.000
63,43320000000.000
64,43320000000.000
65,43320000000.000
66,43320000000.000
67,43320000000.000
68,43320000000.000
69,43320000000.000
70,43320000000.000
71,43320000000.000
72,43320000000.000
73,43320000000.000
74,43320000000.000
75,43320000000.000
76,43320000000.000
77,43320000000.000
78,43320000000.000
79,43320000000.000
80,43320000000.000
81,43320000000.000
82,43320000000.000
83,43320000000.000
84,43320000000.000
85,43320000000.000
86,43320000000.000
87,43320000000.000
88,43320000000.000
89,43320000000.000
90,43320000000.000
91,43320000000.000
92,43320000000.000
93,43320000000.000
94,43320000000.000
95,43320000000.000
96,43320000000.000
97,43320000000.000
98,43320000000.000
99,43320000000.000
100,43320000000.000
101,43320000000.000
102,43320000000.000
103,43320000000.000
104,43320000000.000
105,43320000000.000
106,43320000000.000
107,43320000000.000
108,43320000000.000
109,43320000000.000
110,43320000000.000
111,43320000000.000
112,43320000000.000
113,43320000000.000
114,43320000000.000
115,43320000000.000
116,43320000000.000
117,43320000000.000
118,43320000000.000
119,43320000000.000
120,43320000000.000
121,43320000000.000
122,43320000000.000
123,43320000000.000
124,43320000000.000
125,43320000000.000
126,43320000000.000
127,43320000000.000
128,43320000000.000
129,43320000000.000
130,43320000000.000
131,43320000000.000
132,43320000000.000
133,43320000000.000
134,43320000000.000
135,43320000000.000
136,43320000000.000
137,43320000000.000
138,43320000000.000
139,43320000000.000
140,43320000000.000
141,43320000000.000
142,43320000000.000
143,43320000000.000
144,43320000000.000
145,43320000000.000
146,43320000000.000
147,43320000000.000
148,43320000000.000
149,43320000000.000
150,43320000000.000
151,43320000000.000
152,43320000000.000
153,43320000000.000
154,43320000000.000
155,43320000000.000
156,43320000000.000
157,43320000000.000
158,43320000000.000
159,43320000000.000
160,43320000000.000
161,43320000000.000
162,43320000000.000
163,43320000000.000
164,43320000000.000
165,43320000000.000
166,43320000000.000
167,43320000000.000
168,43320000000.000
169,43320000000.000
170,43320000000.000
171,43320000000.000
172,43320000000.000
173,43320000000.000
174,43320000000.000
175,43320000000.000
176,43320000000.000
177,43320000000.000
178,43320000000.000
179,43320000000.000
180,43320000000.000
181,43320000000.000
182,43320000000.000
183,43320000000.000
184,43320000000.000
185,43320000000.000
186,43320000000.000
187,43320000000.000
188,43320000000.000
189,43320000000.000
190,43320000000.000
191,43320000000.000
192,43320000000.000
193,43320000000.000
194,43320000000.000
195,43320000000.000
196,43320000000.000
197,43320000000.000
198,43320000000.000
199,43320000000.000
