batch_id,total_energy_pJ
0,43320000000.000
1,43150094323.200
2,43320000000.000
3,43320000000.000
4,43320000000.000
5,43150094323.200
6,43320000000.000
7,43320000000.000
8,43320000000.000
9,43150094323.200
10,43320000000.000
11,43320000000.000
12,43320000000.000
13,43150094323.200
14,43320000000.000
15,43320000000.000
16,43320000000.000
17,43150094323.200
18,43320000000.000
19,43320000000.000
20,43320000000.000
21,43150094323.200
22,43320000000.000
23,43320000000.000
24,43320000000.000
25,43150094323.200
26,43320000000.000
27,43320000000.000
28,43320000000.000
29,43150094323.200
30,43320000000.000
31,43320000000.000
32,43320000000.000
33,43150094323.200
34,43320000000.000
35,43320000000.000
36,43320000000.000
37,43150094323.200
38,43320000000.000
39,43320000000.000
40,43320000000.000
41,43150094323.200
42,43320000000.000
43,43320000000.000
44,43320000000.000
45,43150094323.200
46,43320000000.000
47,43320000000.000
48,43320000000.000
49,43150094323.200
50,43320000000.000
51,43320000000.000
52,43320000000.000
53,43150094323.200
54,43320000000.000
55,43320000000.000
56,43320000000.000
57,43150094323.200
58,43320000000.000
59,43320000000.000
60,43320000000.000
61,43150094323.200
62,43320000000.000
63,43320000000.000
64,43320000000.000
65,43150094323.200
66,43320000000.000
67,43320000000.000
68,43320000000.000
69,43150094323.200
70,43320000000.000
71,43320000000.000
72,43320000000.000
73,43150094323.200
74,43320000000.000
75,43320000000.000
76,43320000000.000
77,43150094323.200
78,43320000000.000
79,43320000000.000
80,43320000000.000
81,43150094323.200
82,43320000000.000
83,43320000000.000
84,43320000000.000
85,43150094323.200
86,43320000000.000
87,43320000000.000
88,43320000000.000
89,43150094323.200
90,43320000000.000
91,43320000000.000
92,43320000000.000
93,43150094323.200
94,43320000000.000
95,43320000000.000
96,43320000000.000
97,43150094323.200
98,43320000000.000
99,43320000000.000
100,43320000000.000
101,42990495283.200
102,32566475632.640
103,43320000000.000
104,43320000000.000
105,42990495283.200
106,32566475632.640
107,43320000000.000
108,43320000000.000
109,42990495283.200
110,32566475632.640
111,43320000000.000
112,43320000000.000
113,42990495283.200
114,32566475632.640
115,43320000000.000
116,43320000000.000
117,42990495283.200
118,32566475632.640
119,43320000000.000
120,43320000000.000
121,42990495283.200
122,32566475632.640
123,43320000000.000
124,43320000000.000
125,42990495283.200
126,32566475632.640
127,43320000000.000
128,43320000000.000
129,42990495283.200
130,32566475632.640
131,43320000000.000
132,43320000000.000
133,42990495283.200
134,32566475632.640
135,43320000000.000
136,43320000000.000
137,42990495283.200
138,32566475632.640
139,43320000000.000
140,43320000000.000
141,42990495283.200
142,32566475632.640
143,43320000000.000
144,43320000000.000
145,42990495283.200
146,32566475632.640
147,43320000000.000
148,43320000000.000
149,42990495283.200
150,32566475632.640
151,43320000000.000
152,43320000000.000
153,42990495283.200
154,32566475632.640
155,43320000000.000
156,43320000000.000
157,42990495283.200
158,32566475632.640
159,43320000000.000
160,43320000000.000
161,42990495283.200
162,32566475632.640
163,43320000000.000
164,43320000000.000
165,42990495283.200
166,32566475632.640
167,43320000000.000
168,43320000000.000
169,42990495283.200
170,32566475632.640
171,43320000000.000
172,43320000000.000
173,42990495283.200
174,32566475632.640
175,43320000000.000
176,43320000000.000
177,42990495283.200
178,32566475632.640
179,43320000000.000
180,43320000000.000
181,42990495283.200
182,32566475632.640
183,43320000000.000
184,43320000000.000
185,42990495283.200
186,32566475632.640
187,43320000000.000
188,43320000000.000
189,42990495283.200
190,32566475632.640
191,43320000000.000
192,43320000000.000
193,42990495283.200
194,32566475632.640
195,43320000000.000
196,43320000000.000
197,42990495283.200
198,43320000000.000
199,43320000000.000
