batch_id,total_energy_pJ
0,43320000000.000
1,43150094323.200
2,43320000000.000
3,43320000000.000
4,43320000000.000
5,43150094323.200
6,43320000000.000
7,43320000000.000
8,43320000000.000
9,43150094323.200
10,43320000000.000
11,43320000000.000
12,43320000000.000
13,43150094323.200
14,43320000000.000
15,43320000000.000
16,43320000000.000
17,43150094323.200
18,43320000000.000
19,43320000000.000
20,43320000000.000
21,43150094323.200
22,43320000000.000
23,43320000000.000
24,43320000000.000
25,43150094323.200
26,43320000000.000
27,43320000000.000
28,43320000000.000
29,43150094323.200
30,43320000000.000
31,43320000000.000
32,43320000000.000
33,43150094323.200
34,43320000000.000
35,43320000000.000
36,43320000000.000
37,43150094323.200
38,43320000000.000
39,43320000000.000
40,43320000000.000
41,43150094323.200
42,43320000000.000
43,43320000000.000
44,43320000000.000
45,43150094323.200
46,43320000000.000
47,43320000000.000
48,43320000000.000
49,43150094323.200
50,43320000000.000
51,43320000000.000
52,43320000000.000
53,43150094323.200
54,43320000000.000
55,43320000000.000
56,43320000000.000
57,43150094323.200
58,43320000000.000
59,43320000000.000
60,43320000000.000
61,43150094323.200
62,43320000000.000
63,43320000000.000
64,43320000000.000
65,43150094323.200
66,43320000000.000
67,43320000000.000
68,43320000000.000
69,43150094323.200
70,43320000000.000
71,43320000000.000
72,43320000000.000
73,43150094323.200
74,43320000000.000
75,43320000000.000
76,43320000000.000
77,43150094323.200
78,43320000000.000
79,43320000000.000
80,43320000000.000
81,43150094323.200
82,43320000000.000
83,43320000000.000
84,43320000000.000
85,43150094323.200
86,43320000000.000
87,43320000000.000
88,43320000000.000
89,43150094323.200
90,43320000000.000
91,43320000000.000
92,43320000000.000
93,43150094323.200
94,43320000000.000
95,43320000000.000
96,43320000000.000
97,43150094323.200
98,43320000000.000
99,43320000000.000
100,32566485888.000
101,43320000000.000
102,32566485888.000
103,32566485888.000
104,32566485888.000
105,43320000000.000
106,32566485888.000
107,32566485888.000
108,32566485888.000
109,43320000000.000
110,32566485888.000
111,32566485888.000
112,32566485888.000
113,43320000000.000
114,32566485888.000
115,32566485888.000
116,32566485888.000
117,43320000000.000
118,32566485888.000
119,32566485888.000
120,32566485888.000
121,43320000000.000
122,32566485888.000
123,32566485888.000
124,32566485888.000
125,43320000000.000
126,32566485888.000
127,32566485888.000
128,32566485888.000
129,43320000000.000
130,32566485888.000
131,32566485888.000
132,32566485888.000
133,43320000000.000
134,32566485888.000
135,32566485888.000
136,32566485888.000
137,43320000000.000
138,32566485888.000
139,32566485888.000
140,32566485888.000
141,43320000000.000
142,32566485888.000
143,32566485888.000
144,32566485888.000
145,43320000000.000
146,32566485888.000
147,32566485888.000
148,32566485888.000
149,43320000000.000
150,32566485888.000
151,32566485888.000
152,32566485888.000
153,43320000000.000
154,32566485888.000
155,32566485888.000
156,32566485888.000
157,43320000000.000
158,32566485888.000
159,32566485888.000
160,32566485888.000
161,43320000000.000
162,32566485888.000
163,32566485888.000
164,32566485888.000
165,43320000000.000
166,32566485888.000
167,32566485888.000
168,32566485888.000
169,43320000000.000
170,32566485888.000
171,32566485888.000
172,32566485888.000
173,43320000000.000
174,32566485888.000
175,32566485888.000
176,32566485888.000
177,43320000000.000
178,32566485888.000
179,32566485888.000
180,32566485888.000
181,43320000000.000
182,32566485888.000
183,32566485888.000
184,32566485888.000
185,43320000000.000
186,32566485888.000
187,32566485888.000
188,32566485888.000
189,43320000000.000
190,32566485888.000
191,32566485888.000
192,32566485888.000
193,43320000000.000
194,32566485888.000
195,32566485888.000
196,32566485888.000
197,43320000000.000
198,32566485888.000
199,32566485888.000
