batch_id,total_energy_pJ
0,32566475632.640
1,43320000000.000
2,32566475632.640
3,32566475632.640
4,32566475632.640
5,43320000000.000
6,32566475632.640
7,32566475632.640
8,32566475632.640
9,43320000000.000
10,32566475632.640
11,32566475632.640
12,32566475632.640
13,43320000000.000
14,32566475632.640
15,32566475632.640
16,32566475632.640
17,43320000000.000
18,32566475632.640
19,32566475632.640
20,32566475632.640
21,43320000000.000
22,32566475632.640
23,32566475632.640
24,32566475632.640
25,43320000000.000
26,32566475632.640
27,32566475632.640
28,32566475632.640
29,43320000000.000
30,32566475632.640
31,32566475632.640
32,32566475632.640
33,43320000000.000
34,32566475632.640
35,32566475632.640
36,32566475632.640
37,43320000000.000
38,32566475632.640
39,32566475632.640
40,32566475632.640
41,43320000000.000
42,32566475632.640
43,32566475632.640
44,32566475632.640
45,43320000000.000
46,32566475632.640
47,32566475632.640
48,32566475632.640
49,43320000000.000
50,32566475632.640
51,32566475632.640
52,32566475632.640
53,43320000000.000
54,32566475632.640
55,32566475632.640
56,32566475632.640
57,43320000000.000
58,32566475632.640
59,32566475632.640
60,32566475632.640
61,43320000000.000
62,32566475632.640
63,32566475632.640
64,32566475632.640
65,43320000000.000
66,32566475632.640
67,32566475632.640
68,32566475632.640
69,43320000000.000
70,32566475632.640
71,32566475632.640
72,32566475632.640
73,43320000000.000
74,32566475632.640
75,32566475632.640
76,32566475632.640
77,43320000000.000
78,32566475632.640
79,32566475632.640
80,32566475632.640
81,43320000000.000
82,32566475632.640
83,32566475632.640
84,32566475632.640
85,43320000000.000
86,32566475632.640
87,32566475632.640
88,32566475632.640
89,43320000000.000
90,32566475632.640
91,32566475632.640
92,32566475632.640
93,43320000000.000
94,32566475632.640
95,32566475632.640
96,32566475632.640
97,43320000000.000
98,32566475632.640
99,32566475632.640
100,32566475632.640
101,43320000000.000
102,32566475632.640
103,32566475632.640
104,32566475632.640
105,43320000000.000
106,32566475632.640
107,32566475632.640
108,32566475632.640
109,43320000000.000
110,32566475632.640
111,32566475632.640
112,32566475632.640
113,43320000000.000
114,32566475632.640
115,32566475632.640
116,32566475632.640
117,43320000000.000
118,32566475632.640
119,32566475632.640
120,32566475632.640
121,43320000000.000
122,32566475632.640
123,32566475632.640
124,32566475632.640
125,43320000000.000
126,32566475632.640
127,32566475632.640
128,32566475632.640
129,43320000000.000
130,32566475632.640
131,32566475632.640
132,32566475632.640
133,43320000000.000
134,32566475632.640
135,32566475632.640
136,32566475632.640
137,43320000000.000
138,32566475632.640
139,32566475632.640
140,32566475632.640
141,43320000000.000
142,32566475632.640
143,32566475632.640
144,32566475632.640
145,43320000000.000
146,32566475632.640
147,32566475632.640
148,32566475632.640
149,43320000000.000
150,32566475632.640
151,32566475632.640
152,32566475632.640
153,43320000000.000
154,32566475632.640
155,32566475632.640
156,32566475632.640
157,43320000000.000
158,32566475632.640
159,32566475632.640
160,32566475632.640
161,43320000000.000
162,32566475632.640
163,32566475632.640
164,32566475632.640
165,43320000000.000
166,32566475632.640
167,32566475632.640
168,32566475632.640
169,43320000000.000
170,32566475632.640
171,32566475632.640
172,32566475632.640
173,43320000000.000
174,32566475632.640
175,32566475632.640
176,32566475632.640
177,43320000000.000
178,32566475632.640
179,32566475632.640
180,32566475632.640
181,43320000000.000
182,32566475632.640
183,32566475632.640
184,32566475632.640
185,43320000000.000
186,32566475632.640
187,32566475632.640
188,32566475632.640
189,43320000000.000
190,32566475632.640
191,32566475632.640
192,32566475632.640
193,43320000000.000
194,32566475632.640
195,32566475632.640
196,32566475632.640
197,43320000000.000
198,32566475632.640
199,32566475632.640
