batch_id,total_energy_pJ
0,813736606.340
1,830842546.820
2,854363214.980
3,763203319.940
4,887329069.700
5,971151254.660
6,825176460.420
7,936729138.820
8,872110115.460
9,791682454.660
10,845420541.060
11,669807756.420
12,815331314.820
13,838328959.620
14,805455403.140
15,865818452.100
16,878540226.180
17,801271216.260
18,895379527.300
19,839236558.980
20,773197168.260
21,813490477.700
22,923166425.220
23,886416342.660
24,859347319.940
25,926135351.940
26,875350809.220
27,833267939.460
28,923956087.940
29,872171647.620
30,801942942.340
31,851348139.140
32,760306180.740
33,809572930.180
34,872561351.300
35,834329369.220
36,825309780.100
37,870079554.180
38,864223743.620
39,799825210.500
40,925166220.420
41,768520724.100
42,872325478.020
43,861516328.580
44,880042636.420
45,744876991.620
46,832257786.500
47,867541352.580
48,772151121.540
49,901896808.580
50,874822658.180
51,925740520.580
52,791523496.580
53,878319735.940
54,725530254.980
55,865362088.580
56,729955442.820
57,817536217.220
58,803476118.660
59,808532011.140
60,766859355.780
61,869233486.980
62,822428023.940
63,890513358.980
64,717202902.660
65,814377566.340
66,705763048.580
67,884011460.740
68,744092456.580
69,742554152.580
70,871869114.500
71,835047244.420
72,891103042.180
73,993010554.500
74,841482482.820
75,857311630.980
76,850353369.220
77,795241064.580
78,968095157.380
79,777647994.500
80,809983144.580
81,825530270.340
82,928612021.380
83,815531294.340
84,862900802.180
85,869018124.420
86,807434687.620
87,812998220.420
88,841502993.540
89,832832086.660
90,770602562.180
91,753983751.300
92,831129696.900
93,869977000.580
94,842343933.060
95,784329361.540
96,850917414.020
97,782288544.900
98,900599505.540
99,775827668.100
100,237421268.100
101,357162851.460
102,485072829.060
103,458767830.660
104,281816721.540
105,237421268.100
106,437539235.460
107,253773439.620
108,250266106.500
109,275417376.900
110,237421268.100
111,237421268.100
112,545189749.380
113,349625161.860
114,271263956.100
115,237421268.100
116,237421268.100
117,443877047.940
118,343887287.940
119,237421268.100
120,431493700.740
121,237421268.100
122,237421268.100
123,237421268.100
124,237421268.100
125,405034871.940
126,237421268.100
127,689513430.660
128,269987163.780
129,237421268.100
130,354455436.420
131,247189498.500
132,336272683.140
133,304460556.420
134,284293390.980
135,429878481.540
136,290723501.700
137,252481264.260
138,368992409.220
139,237421268.100
140,443846281.860
141,237421268.100
142,237421268.100
143,442307977.860
144,258019158.660
145,313244272.260
146,383283253.380
147,381621885.060
148,237421268.100
149,237421268.100
150,267802772.100
151,237421268.100
152,282262829.700
153,237421268.100
154,306721863.300
155,270140994.180
156,248450907.780
157,326535218.820
158,374330324.100
159,237421268.100
160,443877047.940
161,237421268.100
162,280616844.420
163,300907074.180
164,549097041.540
165,237421268.100
166,237421268.100
167,237421268.100
168,537082887.300
169,237421268.100
170,509178052.740
171,237421268.100
172,237421268.100
173,253773439.620
174,253773439.620
175,237421268.100
176,237421268.100
177,568018180.740
178,237421268.100
179,237421268.100
180,251804410.500
181,315059470.980
182,237421268.100
183,803101798.020
184,358608857.220
185,237421268.100
186,701666032.260
187,402158243.460
188,319905128.580
189,349271351.940
190,293354001.540
191,332780733.060
192,313244272.260
193,237421268.100
194,237421268.100
195,403004310.660
196,522038274.180
197,237421268.100
198,314521064.580
199,237421268.100
