batch_id,total_energy_pJ
0,237421268.100
1,237421268.100
2,237421268.100
3,248697036.420
4,373945748.100
5,237421268.100
6,237421268.100
7,237421268.100
8,237421268.100
9,237421268.100
10,237421268.100
11,237421268.100
12,303399126.660
13,328442715.780
14,446492164.740
15,500932743.300
16,237421268.100
17,237421268.100
18,237421268.100
19,294815390.340
20,237421268.100
21,237421268.100
22,237421268.100
23,237421268.100
24,316613158.020
25,288585259.140
26,237421268.100
27,237421268.100
28,237421268.100
29,237421268.100
30,237421268.100
31,237421268.100
32,237421268.100
33,237421268.100
34,237421268.100
35,237421268.100
36,237421268.100
37,237421268.100
38,237421268.100
39,237421268.100
40,237421268.100
41,237421268.100
42,237421268.100
43,237421268.100
44,237421268.100
45,257773030.020
46,237421268.100
47,237421268.100
48,237421268.100
49,237421268.100
50,389380064.900
51,306721863.300
52,404957956.740
53,378873448.580
54,247374094.980
55,237421268.100
56,474766192.260
57,292477168.260
58,260372763.780
59,237421268.100
60,237421268.100
61,237421268.100
62,237421268.100
63,433216601.220
64,530529712.260
65,237421268.100
66,263710883.460
67,247712521.860
68,488534013.060
69,294230834.820
70,291692633.220
71,237421268.100
72,237421268.100
73,303091465.860
74,237421268.100
75,237421268.100
76,237421268.100
77,237421268.100
78,265495316.100
79,301076287.620
80,237421268.100
81,237421268.100
82,237421268.100
83,237421268.100
84,237421268.100
85,385744539.780
86,237421268.100
87,328996505.220
88,237421268.100
89,237421268.100
90,245251235.460
91,299045726.340
92,300214837.380
93,237421268.100
94,309675406.980
95,300214837.380
96,300061006.980
97,245558896.260
98,352594088.580
99,237421268.100
