batch_id,hit_ratio
0,0.6931
1,0.6840
2,0.6715
3,0.7200
4,0.6539
5,0.6093
6,0.6870
7,0.6276
8,0.6620
9,0.7048
10,0.6762
11,0.7697
12,0.6922
13,0.6800
14,0.6975
15,0.6654
16,0.6586
17,0.6997
18,0.6496
19,0.6795
20,0.7147
21,0.6932
22,0.6348
23,0.6544
24,0.6688
25,0.6332
26,0.6603
27,0.6827
28,0.6344
29,0.6620
30,0.6994
31,0.6731
32,0.7215
33,0.6953
34,0.6618
35,0.6821
36,0.6869
37,0.6631
38,0.6662
39,0.7005
40,0.6338
41,0.7172
42,0.6619
43,0.6676
44,0.6578
45,0.7298
46,0.6832
47,0.6644
48,0.7152
49,0.6461
50,0.6606
51,0.6334
52,0.7049
53,0.6587
54,0.7401
55,0.6656
56,0.7377
57,0.6911
58,0.6986
59,0.6959
60,0.7181
61,0.6635
62,0.6885
63,0.6522
64,0.7445
65,0.6928
66,0.7506
67,0.6557
68,0.7302
69,0.7310
70,0.6621
71,0.6817
72,0.6519
73,0.5976
74,0.6783
75,0.6699
76,0.6736
77,0.7029
78,0.6109
79,0.7123
80,0.6951
81,0.6868
82,0.6319
83,0.6921
84,0.6669
85,0.6637
86,0.6964
87,0.6935
88,0.6783
89,0.6829
90,0.7161
91,0.7249
92,0.6838
93,0.6631
94,0.6779
95,0.7088
96,0.6733
97,0.7098
98,0.6468
99,0.7133
100,1.0000
101,0.9362
102,0.8681
103,0.8821
104,0.9764
105,1.0000
106,0.8934
107,0.9913
108,0.9932
109,0.9798
110,1.0000
111,1.0000
112,0.8361
113,0.9402
114,0.9820
115,1.0000
116,1.0000
117,0.8901
118,0.9433
119,1.0000
120,0.8966
121,1.0000
122,1.0000
123,1.0000
124,1.0000
125,0.9107
126,1.0000
127,0.7592
128,0.9827
129,1.0000
130,0.9377
131,0.9948
132,0.9474
133,0.9643
134,0.9750
135,0.8975
136,0.9716
137,0.9920
138,0.9299
139,1.0000
140,0.8901
141,1.0000
142,1.0000
143,0.8909
144,0.9890
145,0.9596
146,0.9223
147,0.9232
148,1.0000
149,1.0000
150,0.9838
151,1.0000
152,0.9761
153,1.0000
154,0.9631
155,0.9826
156,0.9941
157,0.9525
158,0.9271
159,1.0000
160,0.8901
161,1.0000
162,0.9770
163,0.9662
164,0.8340
165,1.0000
166,1.0000
167,1.0000
168,0.8404
169,1.0000
170,0.8553
171,1.0000
172,1.0000
173,0.9913
174,0.9913
175,1.0000
176,1.0000
177,0.8239
178,1.0000
179,1.0000
180,0.9923
181,0.9587
182,1.0000
183,0.6988
184,0.9355
185,1.0000
186,0.7528
187,0.9123
188,0.9561
189,0.9404
190,0.9702
191,0.9492
192,0.9596
193,1.0000
194,1.0000
195,0.9118
196,0.8484
197,1.0000
198,0.9589
199,1.0000
