batch_id,hit_ratio
0,1.0000
1,1.0000
2,1.0000
3,0.9940
4,0.9273
5,1.0000
6,1.0000
7,1.0000
8,1.0000
9,1.0000
10,1.0000
11,1.0000
12,0.9649
13,0.9515
14,0.8887
15,0.8597
16,1.0000
17,1.0000
18,1.0000
19,0.9694
20,1.0000
21,1.0000
22,1.0000
23,1.0000
24,0.9578
25,0.9728
26,1.0000
27,1.0000
28,1.0000
29,1.0000
30,1.0000
31,1.0000
32,1.0000
33,1.0000
34,1.0000
35,1.0000
36,1.0000
37,1.0000
38,1.0000
39,1.0000
40,1.0000
41,1.0000
42,1.0000
43,1.0000
44,1.0000
45,0.9892
46,1.0000
47,1.0000
48,1.0000
49,1.0000
50,0.9191
51,0.9631
52,0.9108
53,0.9247
54,0.9947
55,1.0000
56,0.8736
57,0.9707
58,0.9878
59,1.0000
60,1.0000
61,1.0000
62,1.0000
63,0.8957
64,0.8439
65,1.0000
66,0.9860
67,0.9945
68,0.8663
69,0.9697
70,0.9711
71,1.0000
72,1.0000
73,0.9650
74,1.0000
75,1.0000
76,1.0000
77,1.0000
78,0.9850
79,0.9661
80,1.0000
81,1.0000
82,1.0000
83,1.0000
84,1.0000
85,0.9210
86,1.0000
87,0.9512
88,1.0000
89,1.0000
90,0.9958
91,0.9672
92,0.9666
93,1.0000
94,0.9615
95,0.9666
96,0.9666
97,0.9957
98,0.9387
99,1.0000
