batch_id,hit_ratio
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0061
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0058
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0124
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,0.0207
56,0.0000
57,0.0061
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.0000
63,0.0000
64,0.0000
65,0.0000
66,0.0000
67,0.0000
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,0.0000
80,0.0000
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0052
86,0.0071
87,0.0000
88,0.0000
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
96,0.0000
97,0.0000
98,0.0000
99,0.0000
100,0.3473
101,0.3793
102,0.0000
103,0.4476
104,0.5871
105,0.0283
106,0.1550
107,0.3969
108,0.4950
109,0.0000
110,0.0000
111,0.3390
112,0.5298
113,0.5802
114,0.6205
115,0.0000
116,0.0000
117,0.3911
118,0.7164
119,0.4137
120,0.8624
121,0.4037
122,0.3168
123,0.0000
124,0.0000
125,0.4465
126,0.5883
127,0.0000
128,0.4431
129,0.6009
130,0.0103
131,0.3081
132,0.3632
133,0.3784
134,0.3436
135,0.5664
136,0.5492
137,0.6149
138,0.0209
139,0.0000
140,0.0000
141,0.0000
142,0.2832
143,0.3591
144,0.7430
145,0.5742
146,0.1102
147,0.3674
148,0.6503
149,0.0884
150,0.4141
151,0.5493
152,0.0000
153,0.1472
154,0.3965
155,0.8185
156,0.4613
157,0.2459
158,0.0173
159,0.3987
160,0.6383
161,0.0258
162,0.4418
163,0.5672
164,0.0114
165,0.2759
166,0.3672
167,0.3999
168,0.0153
169,0.3717
170,0.6263
171,0.0590
172,0.4334
173,0.8001
174,0.3836
175,0.7928
176,0.4999
177,0.5947
178,0.7435
179,0.3999
180,0.5272
181,0.0000
182,0.0153
183,0.0043
184,0.0000
185,0.0000
186,0.0176
187,0.4352
188,0.6029
189,0.0940
190,0.4056
191,0.8509
192,0.4214
193,0.2975
194,0.3511
195,0.5742
196,0.5402
197,0.6040
198,0.0000
199,0.0000
