batch_id,hit_ratio
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0061
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0058
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0124
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,0.0207
56,0.0000
57,0.0061
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.0000
63,0.0000
64,0.0000
65,0.0000
66,0.0000
67,0.0000
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,0.0000
80,0.0000
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0052
86,0.0071
87,0.0000
88,0.0000
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
96,0.0000
97,0.0000
98,0.0000
99,0.0000
100,0.8763
101,0.2472
102,0.0000
103,0.9202
104,0.5114
105,0.0000
106,0.1429
107,0.9303
108,0.3584
109,0.0000
110,0.0000
111,0.5030
112,0.8197
113,0.8956
114,0.6450
115,0.0000
116,0.0000
117,0.7341
118,0.7704
119,0.9343
120,0.7881
121,0.8556
122,0.2124
123,0.0000
124,0.0000
125,0.9150
126,0.5166
127,0.0000
128,0.8839
129,0.5477
130,0.0000
131,0.3208
132,0.8767
133,0.2342
134,0.5396
135,0.8094
136,0.9059
137,0.6084
138,0.0000
139,0.0000
140,0.0000
141,0.0000
142,0.2832
143,0.8763
144,0.8311
145,0.8054
146,0.0673
147,0.6518
148,0.7731
149,0.0781
150,0.9343
151,0.4260
152,0.0000
153,0.1472
154,0.9303
155,0.7915
156,0.8562
157,0.1381
158,0.0000
159,0.7419
160,0.6897
161,0.0258
162,0.9506
163,0.4553
164,0.0000
165,0.2677
166,0.8804
167,0.2836
168,0.0000
169,0.6279
170,0.7847
171,0.0191
172,0.8464
173,0.7825
174,0.9126
175,0.7948
176,0.8407
177,0.8861
178,0.7710
179,0.9343
180,0.3897
181,0.0000
182,0.0000
183,0.0000
184,0.0000
185,0.0000
186,0.0000
187,0.8445
188,0.5871
189,0.0940
190,0.9343
191,0.7881
192,0.8556
193,0.1912
194,0.5595
195,0.8049
196,0.9104
197,0.5885
198,0.0000
199,0.0000
