batch_id,hit_ratio
0,0.1814
1,1.0000
2,0.2502
3,0.0000
4,0.0000
5,0.6584
6,0.7732
7,0.0000
8,0.0000
9,0.7126
10,0.7351
11,1.0000
12,0.4156
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.5473
18,0.8419
19,0.0424
20,0.0000
21,0.7113
22,0.3256
23,0.0000
24,0.9664
25,0.4652
26,0.0000
27,0.2555
28,1.0000
29,0.1761
30,0.3967
31,0.9451
32,0.7900
33,0.7315
34,0.0000
35,0.0000
36,0.0000
37,0.7719
38,0.7351
39,1.0000
40,0.7351
41,0.9451
42,0.7900
43,0.7494
44,0.9857
45,0.4460
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.2924
51,0.9933
52,0.7418
53,0.8046
54,0.0312
55,0.0000
56,0.0000
57,0.0000
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.6290
63,0.7843
64,0.0183
65,0.0000
66,0.7289
67,0.7028
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.7226
73,0.7091
74,0.0000
75,0.0000
76,0.0000
77,0.6490
78,0.7795
79,0.9556
80,0.4792
81,0.3443
82,0.9613
83,0.7738
84,0.7795
85,0.0044
86,0.0000
87,0.0000
88,0.7070
89,0.7246
90,0.0000
91,0.1267
92,1.0000
93,0.7351
94,0.9274
95,0.0741
96,0.0000
97,0.0047
98,1.0000
99,0.7351
100,1.0000
101,0.3885
102,0.0000
103,0.7047
104,0.7269
105,0.0000
106,0.0432
107,0.8348
108,0.5537
109,0.0000
110,0.0000
111,0.2657
112,1.0000
113,0.7351
114,0.8625
115,0.0000
116,0.0000
117,0.5045
118,0.9704
119,0.7647
120,0.7351
121,1.0000
122,0.3203
123,0.0000
124,0.0000
125,0.6995
126,0.7321
127,0.0000
128,0.6665
129,0.7652
130,0.0000
131,0.0640
132,1.0000
133,0.3676
134,0.3023
135,1.0000
136,0.7351
137,0.8259
138,0.0000
139,0.0000
140,0.0000
141,0.0000
142,0.0432
143,0.9751
144,0.7351
145,1.0000
146,0.1099
147,0.4146
148,1.0000
149,0.0603
150,0.7632
151,0.6252
152,0.0000
153,0.0432
154,0.8391
155,0.7351
156,1.0000
157,0.2459
158,0.0000
159,0.5124
160,0.9193
161,0.0258
162,0.7351
163,0.6708
164,0.0000
165,0.0432
166,0.9596
167,0.4289
168,0.0000
169,0.3907
170,1.0000
171,0.0410
172,0.6289
173,0.8459
174,0.8892
175,0.7351
176,1.0000
177,0.7351
178,0.9356
179,0.7995
180,0.5890
181,0.0000
182,0.0000
183,0.0000
184,0.0000
185,0.0000
186,0.0000
187,0.6270
188,0.8046
189,0.0432
190,0.7859
191,0.7351
192,1.0000
193,0.2991
194,0.3222
195,1.0000
196,0.7351
197,0.8060
198,0.0000
199,0.0000
